id,journey,ui_element,current_binding,identifier_type_unit,producer_authority,audience,publication_rule,freshness_revision,missing_behavior,update_withdrawal_effect,evidence,qualification,defect,map_version,field_model,field_name,consumer_file,provider,owner_editor,owner_save_publish,validation_actual,publication_gap,required_update_unpublish,source_commit,source_path,source_line,visibility_class,authority_class
CAT-091,OWNER-PUBLIC-HANDOFF,BuyV2StoreListing.previewProduct,BuyV2StoreListing.previewProduct: BuyV2Product?,BuyV2Product?,current eligible published owner offer selected by catalogue provider,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2StoreListing,previewProduct,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Store results/header/collection state,BuyV2CataloguePageSource.loadStores and exact-store collection capability admission,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,178,public_when_published,current eligible published owner offer selected by catalogue provider
CAT-092,OWNER-PUBLIC-HANDOFF,BuyV2StoreCollectionCapability.storeId,BuyV2StoreCollectionCapability.storeId: String,String,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2StoreCollectionCapability,storeId,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Store results/header/collection state,BuyV2CataloguePageSource.loadStores and exact-store collection capability admission,Store delivery settings pickupEnabled / setup storeCollection,No proven owner-to-public publish action for this field,"isSupportedFor exact storeId, supportsCollection, sourceId, observedAt<=now<validUntil; checkbox alone is insufficient",Owner setting is not mapped to a fresh public capability; private collection checkout contracts remain separate,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,289,public_contract_metadata_not_necessarily_rendered,owner_offer_or_platform_fact_as_noted
CAT-093,OWNER-PUBLIC-HANDOFF,BuyV2StoreCollectionCapability.supportsCollection,BuyV2StoreCollectionCapability.supportsCollection: bool,bool,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2StoreCollectionCapability,supportsCollection,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Store results/header/collection state,BuyV2CataloguePageSource.loadStores and exact-store collection capability admission,Store delivery settings pickupEnabled / setup storeCollection,No proven owner-to-public publish action for this field,"isSupportedFor exact storeId, supportsCollection, sourceId, observedAt<=now<validUntil; checkbox alone is insufficient",Owner setting is not mapped to a fresh public capability; private collection checkout contracts remain separate,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,290,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-094,OWNER-PUBLIC-HANDOFF,BuyV2StoreCollectionCapability.sourceId,BuyV2StoreCollectionCapability.sourceId: String,String,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2StoreCollectionCapability,sourceId,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Store results/header/collection state,BuyV2CataloguePageSource.loadStores and exact-store collection capability admission,Store delivery settings pickupEnabled / setup storeCollection,No proven owner-to-public publish action for this field,"isSupportedFor exact storeId, supportsCollection, sourceId, observedAt<=now<validUntil; checkbox alone is insufficient",Owner setting is not mapped to a fresh public capability; private collection checkout contracts remain separate,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,291,public_contract_metadata_not_necessarily_rendered,owner_offer_or_platform_fact_as_noted
CAT-095,OWNER-PUBLIC-HANDOFF,BuyV2StoreCollectionCapability.observedAt,BuyV2StoreCollectionCapability.observedAt: DateTime,DateTime,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2StoreCollectionCapability,observedAt,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Store results/header/collection state,BuyV2CataloguePageSource.loadStores and exact-store collection capability admission,Store delivery settings pickupEnabled / setup storeCollection,No proven owner-to-public publish action for this field,"isSupportedFor exact storeId, supportsCollection, sourceId, observedAt<=now<validUntil; checkbox alone is insufficient",Owner setting is not mapped to a fresh public capability; private collection checkout contracts remain separate,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,292,public_contract_metadata_not_necessarily_rendered,owner_offer_or_platform_fact_as_noted
CAT-096,OWNER-PUBLIC-HANDOFF,BuyV2StoreCollectionCapability.validUntil,BuyV2StoreCollectionCapability.validUntil: DateTime,DateTime,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2StoreCollectionCapability,validUntil,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart Store results/header/collection state,BuyV2CataloguePageSource.loadStores and exact-store collection capability admission,Store delivery settings pickupEnabled / setup storeCollection,No proven owner-to-public publish action for this field,"isSupportedFor exact storeId, supportsCollection, sourceId, observedAt<=now<validUntil; checkbox alone is insufficient",Owner setting is not mapped to a fresh public capability; private collection checkout contracts remain separate,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,293,public_contract_metadata_not_necessarily_rendered,owner_offer_or_platform_fact_as_noted
CAT-097,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.productId,BuyV2ProductFactsSnapshot.productId: String,String,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,productId,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,363,public_contract_metadata_not_necessarily_rendered,owner_offer_or_platform_fact_as_noted
CAT-098,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.price,BuyV2ProductFactsSnapshot.price: int,int,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,price,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,364,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-099,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.deliveryPromise,BuyV2ProductFactsSnapshot.deliveryPromise: String,String,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,deliveryPromise,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,365,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-100,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.partner,BuyV2ProductFactsSnapshot.partner: String,String,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,partner,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,366,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-101,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.orderabilityLabel,BuyV2ProductFactsSnapshot.orderabilityLabel: String,String,"system-derived from acknowledged owner publication, stock and operational facts",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,orderabilityLabel,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,367,public_when_published,"system-derived from acknowledged owner publication, stock and operational facts"
CAT-102,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.sourceId,BuyV2ProductFactsSnapshot.sourceId: String,String,"system-derived from acknowledged owner publication, stock and operational facts",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,sourceId,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,368,public_contract_metadata_not_necessarily_rendered,"system-derived from acknowledged owner publication, stock and operational facts"
CAT-103,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.promisedByLabel,BuyV2ProductFactsSnapshot.promisedByLabel: String?,String?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,promisedByLabel,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",Current Work public-facts mapper does not populate this field; provider/capability/quote source required,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,369,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-104,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.dispatchPromise,BuyV2ProductFactsSnapshot.dispatchPromise: String?,String?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,dispatchPromise,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",Current Work public-facts mapper does not populate this field; provider/capability/quote source required,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,370,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-105,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.deliveryProviderName,BuyV2ProductFactsSnapshot.deliveryProviderName: String?,String?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,deliveryProviderName,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",Current Work public-facts mapper does not populate this field; provider/capability/quote source required,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,371,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-106,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.deliveryServiceLevel,BuyV2ProductFactsSnapshot.deliveryServiceLevel: String?,String?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,deliveryServiceLevel,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",Current Work public-facts mapper does not populate this field; provider/capability/quote source required,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,372,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-107,OWNER-PUBLIC-HANDOFF,BuyV2ProductFactsSnapshot.fulfilmentMode,BuyV2ProductFactsSnapshot.fulfilmentMode: BuyV2FulfilmentMode?,BuyV2FulfilmentMode?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2ProductFactsSnapshot,fulfilmentMode,apps/mobile/lib/ui_v2/buy/buy_v2_views.dart:518 product detail and downstream cart/order current-facts reads; apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart product tile facts,BuyV2Session.productFactsFor via productFactsAdapter,Store catalogue editor and Store availability/trading/delivery settings,saveWorkspaceAvailability:6606 / saveWorkspaceTradingControls:6637 / saveWorkspaceDeliverySettings:6728 / setWorkspaceVisibility:6834; all use _persistOperationalState with device-local guard,"Local facts combine storeVisible, publicListing, available, stockMode/stock and acceptingOrders; observedAt/sourceId provided by caller. No production provider acknowledgement proved.",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_content_contracts.dart,373,public_when_published,owner_offer_or_platform_fact_as_noted
