"Screen","ApprovedReference","Title","DirectAndReachableControls","InitiallyRenderedControls","ScriptRevealedControls","NavigationLinks","Inputs","NestedSheetDialogActions","ControlLabels"
"092","92-retailer-business-book-home.html","92 Retailer Business Book Home - MoolSocial Screenbook","21","8","13","0","2","15","button: Business reports and export | button: July | button: ESTIMATED OPERATING PROFIT ₹87,300 18.1% of net sales · working estimate Net sales ₹4.83L Purchases ₹3.31L | button: Review | button: AI Ask about sales, stock, dues or profit › | button: GST GST working summary Output ₹24,180 · Input ₹18,540 · not filed 2 docs | button: Close | button: Done | nested input: Custom period start date | nested input: Custom period end date | nested button: Apply Period | nested button: ₹ Match customer payment ₹1,240 bank transfer · PH-1182 Match | nested button: GST Add supplier GST invoice 2 accepted purchases are missing documents Add | nested button: DUE Customer payment due ₹5,600 due today across 3 customers Review | nested button: ? What should I collect today? Customer dues ordered by due date Ask | nested button: ? Which products made more margin? Sales value compared with posted cost Ask | nested button: ? What should I pay suppliers? Due bills with payment and dispute state Ask | nested button: D Today Live operating position › | nested button: W This Week Monday to today › | nested button: M July 2026 Current selected period ✓ | nested button: ⋯ Custom Period Choose start and end date ›"
"093","93-retailer-business-services.html","93 Retailer Business Services - MoolSocial Screenbook","14","14","0","6","0","3","a: Back to Business Book | button: Business Services help | button: Delivery Support Nearby Customer orders delivered from your shop Partner assignment · live tracking · proof + charge onl | button: Grow Sales Verified Expand sales beyond your immediate area Sales team · field partners · creator campaigns + fee only o | button: Tax & Books Professional GST, ITR, accounts and bookkeeping Qualified professionals · records · reminders + agreed filin | button: Offers & Ads Campaigns Create promotions and run campaigns Offers · creatives · advertising · reports + approved ad spen | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: View plans | button: Not now"
"094","94-retailer-business-service-plan.html","94 Retailer Business Service Plan - MoolSocial Screenbook","12","11","1","6","0","1","a: Back to Business Services | button: Plan help | button: ₹1,500 | button: ₹3,000 | button: Custom | button: Review activation | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | nested button: ₹ /month"
"095","95-retailer-business-service-activation.html","95 Retailer Business Service Activation - MoolSocial Screenbook","14","14","0","7","2","0","a: Back to plan selection | button: Activation help | button: UPI UPI AutoPay · ending 4321 Monthly plan and verified charges within your limit | button: CARD Visa · ending 6068 Saved card mandate | button: 1× Pay manually each month Service pauses if renewal is not paid | input: Approve service terms | a: service terms | input: Approve business data access | button: Pay & activate | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat"
"096","96-retailer-business-service-active.html","96 Retailer Active Business Service - MoolSocial Screenbook","11","10","1","7","0","1","a: Back to Business Services | button: Service settings | a: Open Orders | button: Plan & billing | button: Service support | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | nested button: [unlabelled button]"
"097","97-retailer-customers-loyalty.html","97 Retailer Customers and Loyalty - MoolSocial Screenbook","22","22","0","13","1","0","a: Back to retailer home | a: Open offers | input: Search name, mobile or invoice | button: Voice | button: All | button: Repeat basket | button: Payment due | button: Offers allowed | button: Open issue | a: Prepare offer | a: SF Sharma Family 18 orders · last buy 4 days ago · home delivery Monthly staples basket ready ₹645 Offers allowed | a: RD Rukmani Devi 11 orders · counter pickup · invoice only Credit due ₹1,240 ₹1,240 Marketing off | a: AS Arjun Singh 7 orders · last buy 12 days ago · pickup Back-in-stock allowed ₹392 Mool Chat | a: MJ Meena Joshi 6 orders · delivery · issue MS-2848 Replacement awaiting response 1 open Support active | a: Repeat Baskets | button: Loyalty Benefits | button: Consent Permissions | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 2"
"098","98-retailer-customer-detail-retention.html","98 Retailer Customer Detail and Retention - MoolSocial Screenbook","4","4","0","3","0","1","a: Back to customers | a: Edit basket Create order History purpose-limited INV Invoice MS-2840 ₹645 · UPI · home delivery Completed 4 days ago Vie | button: Send with Mool Chat | a: Mool"
"099","99-retailer-offers-campaigns.html","99 Retailer Offers and Campaigns - MoolSocial Screenbook","2","2","0","2","0","0","a: Back to retailer home | a: + Create ACTIVE 3 2 on target ATTRIBUTED SALES ₹42,680 ₹31,450 paid SPEND ₹3,240 Within ₹5,000 All Active Drafts Complet"
"100","100-retailer-offer-campaign-builder.html","100 Retailer Offer and Campaign Builder - MoolSocial Screenbook","1","1","0","1","0","0","a: Back to campaigns"
"101","101-retailer-slow-stock-liquidation.html","101 Retailer Slow Stock Liquidation - MoolSocial Screenbook","8","7","1","3","2","2","a: Back to stock | button: D Surf Excel 1 kg · 24 units No sale 38 days · buy ₹112 · sell ₹128 Suggested floor ₹116 · recover ₹2,784 24 Available B | button: Customer offer Nearby verified demand Retailer transfer Nearby shops bid above floor Build a bundle Pair with faster pro | input: [unlabelled input] | select: In 48 hours In 7 days When quantity sells | button: Review & publish | a: Mool | nested a: View recovery record"
"102","102-retailer-ai-operating-assistant.html","102 Retailer AI Operating Assistant - MoolSocial Screenbook","19","19","0","8","1","0","a: Back to retailer home | button: Assistant history | input: [unlabelled input] | button: Ask | button: Restock | button: Slow stock | button: Dues | button: Offer | button: Profit | button: Dismiss | a: Review purchase | a: Review offer | button: AI Why is profit lower this week? Oil margin fell 1.8%; delivery cost rose ₹1,240 Based on locked sales and purchase boo | button: AI Which customers may reorder? 86 eligible from permitted repeat-basket history No message sent View | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 2"
"103","103-retailer-staff-permissions.html","103 Retailer Staff and Permissions - MoolSocial Screenbook","5","5","0","2","0","0","a: Back to retailer home | button: Manage | button: Review | button: DEV Active devices 6 devices · last sign-in and branch Review LOG Permission history Every grant, revoke and limit chang | a: Mool"
"104","104-retailer-store-settings-readiness.html","104 Retailer Store Settings and Readiness - MoolSocial Screenbook","14","14","0","8","0","0","a: Back to retailer home | button: Save settings | a: Review reminder | button: Edit | button: Accept app orders | button: At-shop collection | button: Home delivery | button: View | a: MS MoolSocial Business Services Delivery, growth, tax, books, offers and ads View | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 2"
"105","105-retailer-returns-customer-issues.html","105 Retailer Returns and Customer Issues - MoolSocial Screenbook","10","10","0","4","1","1","a: Back to retailer orders | button: All Need action Replacement Refund Closed | button: Review now | button: ! MS-2848 · Damaged item Meena Joshi · Fortune Oil 1 L · photo received Respond in 42 min ₹132 Held ? MS-2843 · Missing  | button: Replace Refund ₹132 Ask evidence | textarea: We reviewed your photo and can replace this item today. | a: Review MS-2848 photo and order evidence | a: Open issue receipt | button: Confirm replacement | a: Mool"
"106","106-retailer-cash-bank-expenses-reconciliation.html","106 Retailer Cash Bank Expenses and Reconciliation - MoolSocial Screenbook","23","23","0","13","3","0","a: Back to Business Book | button: Add expense | button: Close | input: [unlabelled input] | select: Cash UPI Bank Card | select: Shop expense Delivery Electricity Salary Repair Other | button: Save expense | a: UPI UPI receipts ₹1,08,540 gross · ₹1,07,920 settled ₹620 settles tomorrow ₹1.08L Matched | a: ₹ Cash sales Counter and delivery collection Counted 11:30 AM ₹68,420 Owner checked | a: CARD Card and bank receipts ₹42,300 · fees ₹640 Net ₹41,660 settled ₹42,300 Matched | button: EXP Recorded shop expenses Electricity, salary, delivery, repair and supplies 42 records · bills attached 36 ₹31,400 Vie | a: SUP Supplier payments From Purchase Book · no duplicate entry ₹42,850 due ₹3.08L Paid MTD | button: Review | button: Resolve | button: Add bill | a: Business Position | a: Sales Book | a: Purchase Book | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 2"
"107","107-manufacturer-supplier-workspace-home.html","107 Manufacturer Supplier Hybrid Operating App - MoolSocial Screenbook","56","12","44","2","1","46","button: SF Shakti Foods Manufacturing FMCG · Edible oil & staples · Jodhpur | button: Supply on | button: Open Business Book | button: Open alerts | a: Mool | button: Orders | button: Stock | button: Wholesale Buy | a: Open manufacturer chat | button: X | button: Continue | button: Business Home | nested input: [unlabelled input] | nested button: S | nested button: [] | nested button: V | nested button: Rs 8.6L Sales Rs 3.2L Purchases Rs 4.26L Receivable › | nested button: Review | nested button: View order | nested button: Confirm quantity | nested button: Add Products | nested button: Update Stock | nested button: Dispatch | nested button: GST Invoice | nested a: MS MOOLSOCIAL BUSINESS SERVICES Transport, sales, GST, books and campaigns Separate professional plans for your business | nested button: Buy | nested button: Export | nested button: Need action 6 | nested button: Retailers | nested button: Hotels | nested button: Restaurants | nested button: Distributors | nested button: Confirm | nested button: View | nested button: Details | nested button: [unlabelled button] | nested button: Update | nested button: My Stock 42 | nested button: Add Products Master | nested button: Update Qty | nested button: CSV Mobile | nested button: CSV Web | nested button: New Product | nested button: Master List | nested button: Scan Pack | nested button: Not Listed | nested button: Change | nested button: Full terms | nested button: Add MOQ | nested button: PO Cart | nested button: Matched Inputs | nested button: Raw Material | nested button: Packaging | nested button: Machinery | nested button: Browse All | nested button: Review PO"
"108","108-manufacturer-business-book.html","108 Manufacturer Business Book - MoolSocial Screenbook","20","3","17","1","2","18","a: Back to manufacturer workspace | button: × | button: Done | nested input: Custom period start date | nested input: Custom period end date | nested button: Apply Period | nested button: AR Collect overdue buyer payment ₹72,000 · 3 verified buyers Review | nested button: AP Supplier bill due tomorrow ₹1,14,000 · invoice matched Pay | nested button: GST Add 2 supplier GST documents Input credit remains provisional Add | nested button: ? What should I collect today? Buyer dues by date and risk Ask | nested button: ? What should I pay suppliers? Due bills, holds and disputes Ask | nested button: ? Which products generated margin? Sales compared with posted cost Ask | nested button: D Today Live position › | nested button: W This Week Monday to today › | nested button: M July 2026 Selected ✓ | nested button: ⋯ Custom Period Choose dates › | nested button: PDF Business Summary Sales, purchases, dues and tax › | nested button: GST GST-ready Data Invoice registers and exceptions › | nested button: CA Accountant Access Timed role with audit history › | nested button: CSV Detailed Export Book-wise files ›"
"109","109-manufacturer-product-catalogue-stock.html","109 Manufacturer Product Catalogue and Stock - MoolSocial Screenbook","32","9","23","5","1","24","a: Back to manufacturer Stock | button: Product catalogue options | a: Mool | a: Orders | button: Stock | a: Wholesale Buy | a: Chat 3 | button: × | button: Save | nested button: Review | nested button: My Stock | nested button: Add Products | nested button: Import CSV | nested input: [unlabelled input] | nested button: Scan | nested button: Filter | nested button: [unlabelled button] | nested button: All 42 | nested button: Live 39 | nested button: Low 6 | nested button: Paused 3 | nested button: Batch | nested button: Not listed | nested button: Recommended | nested button: Edible Oil | nested button: Flour | nested button: Tea | nested button: Spices | nested button: CSV Upload from phone Select a CSV stored on this mobile | nested button: WEB Continue on web Secure desktop link and QR | nested button: ↓ Get template Required columns and examples | nested button: SCAN Scan products Barcode or pack recognition"
"110","110-manufacturer-order-review-fulfilment.html","110 Manufacturer Order Review and Fulfilment - MoolSocial Screenbook","23","3","20","1","0","21","a: Back to manufacturer Orders | button: × | button: Continue | nested button: [unlabelled button] | nested button: Cannot Fulfil | nested button: Confirm Partial | nested button: Confirm Full | nested button: Production | nested button: GST Invoice | nested button: Mark Packed | nested button: Transport | nested button: Dispatch | nested button: Documents | nested button: Order Chat | nested button: Track Status | nested button: View | nested button: Insufficient finished stock | nested button: Production capacity unavailable | nested button: Commercial terms not acceptable | nested button: Delivery commitment not possible | nested button: Download purchase order | nested button: Open order chat | nested button: Report buyer or term issue"
"111","111-manufacturer-input-procurement.html","111 Manufacturer Input Procurement - MoolSocial Screenbook","23","9","14","5","1","15","a: Back to manufacturer Wholesale Buy | button: Wholesale buy options | a: Mool | a: Orders | a: Stock | button: Wholesale Buy | a: Chat 3 | button: × | button: Continue | nested button: Matched Inputs | nested button: PO Cart | nested button: Purchases | nested button: Add MOQ | nested input: Search input, grade, pack or supplier | nested button: Filter | nested button: Matched | nested button: Raw Material | nested button: Packaging | nested button: Credit | nested button: Browse All | nested button: Review & Place PO | nested button: Track purchase | nested button: Open receipt"
"112","112-manufacturer-dispatch-delivery.html","112 Manufacturer Dispatch and Delivery - MoolSocial Screenbook","14","9","5","6","0","6","a: Back to manufacturer Orders | button: Dispatch and delivery options | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 3 | button: × | button: Continue | nested button: Ready 3 | nested button: In Transit 2 | nested button: Delivered | nested button: Documents | nested button: [unlabelled button]"
"113","113-manufacturer-buyers-demand-campaigns.html","113 Manufacturer Buyers Demand and Campaigns - MoolSocial Screenbook","5","3","2","1","0","2","a: Back to manufacturer workspace | button: × | button: Continue | nested button: [unlabelled button] | nested button: Manage Campaign"
"114","114-manufacturer-claims-team-control.html","114 Manufacturer Claims Team and Workspace Control - MoolSocial Screenbook","19","9","10","6","0","10","a: Back to manufacturer workspace | button: Add team member or control | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 3 | button: × | button: Continue | nested button: [unlabelled button] | nested button: › | nested button: VERIFIED Business & GST GSTIN, bank, address and authorised person | nested button: LOCKED MODEL Manufacturer Trader activity requires separate verification | nested button: OPERATIONS Factory & Capacity Location, hours, lines and dispatch cut-off | nested button: LOGISTICS Fleet & Delivery Own fleet and MoolSocial Transport defaults | nested button: SECURITY Devices & Approvals MFA, sessions and money approvals | nested button: NOTIFICATIONS Orders & Alerts Push, SMS, email and WhatsApp rules | nested button: View Cases | nested button: Start Support"
"115","115-manufacturer-business-services.html","115 Manufacturer Business Services - MoolSocial Screenbook","19","9","10","6","0","10","a: Back to manufacturer workspace | button: Manufacturer business services help | a: Mool | a: Orders | a: Stock | a: Wholesale Buy | a: Chat 3 | button: × | button: Continue | nested button: All Services | nested button: Active | nested button: Requests | nested button: Review Scope & Price | nested button: All | nested button: Sales | nested button: Logistics | nested button: Campaign | nested button: Tax & Audit | nested button: Sourcing"
"116","116-captain-home-availability.html","Screen 116 · Captain Home","7","7","0","2","0","1","button: Open captain controls | button: Go Online | button: RIDE Sardarpura to Jodhpur Airport 11.8 km · 28 min · pickup 2.1 km ₹238 expected net earning › | button: 2 Trips need attention 1 pickup · 1 payment confirmation Open live trip states › ₹ ₹2,840 available Next automatic payou | a: Mool | a: R Requests T Trips ₹ Earnings Chat | button: X"
"117","117-captain-ride-request.html","Screen 117 · Captain Ride Request","11","11","0","6","0","1","a: Back | button: Pause requests | button: Decline | button: Accept Ride | a: Mool | a: R Requests | a: T Trips | a: ₹ Earnings | a: Chat | button: X | button: Resume Requests"
"118","118-captain-pickup-navigation.html","Screen 118 · Captain Pickup","5","5","0","2","1","1","a: Back | a: R Requests T Trips ₹ Earnings Chat | button: X | input: ---- | button: Verify OTP & Start"
"119","119-captain-live-trip-safety.html","Screen 119 · Captain Live Trip","12","12","0","5","0","1","button: ••• | button: SOS | button: Report Issue | button: Rider Chat | button: Arrived at Destination | a: Mool | a: R Requests | a: T Trips | a: ₹ Earnings | a: Chat | button: X | button: Open Support"
"120","120-captain-fare-completion.html","Screen 120 · Captain Fare Completion","9","9","0","5","0","1","button: ? | button: Check Payment | a: Mool | a: R Requests | a: T Trips | a: ₹ Earnings | a: Chat | button: X | button: View Earnings"
"121","121-captain-earnings-payouts.html","Screen 121 · Captain Earnings","15","15","0","6","0","1","a: ‹ | button: ↓ | button: Today | button: This Week | button: Payouts | button: Details | button: ₹ MS-R4821 · Airport Gross ₹278 · platform ₹28 Net ₹250 · paid › | button: ₹ MS-R4817 · Railway Station Gross ₹196 · platform ₹20 Net ₹176 · paid › | a: Mool | a: R Requests | a: T Trips | a: ₹ Earnings | a: Chat | button: X | button: Open Statement"
"122","122-captain-vehicle-compliance.html","Screen 122 · Captain Compliance","4","4","0","2","0","1","a: ‹ Vehicle & Compliance Bike Captain · Rajasthan resolver + BIKE Honda Shine · RJ19 GB 4421 Passenger bike service · Jodh | a: R Requests T Trips ₹ Earnings Chat | button: X | button: Continue Verification"
"123","123-captain-support-paid-work.html","Screen 123 · Captain Support and Paid Work","20","12","8","6","0","9","a: ‹ | button: + | button: Support | button: Paid Work | button: Vehicle Help | a: Mool | a: R Requests | a: T Trips | a: ₹ Earnings | a: Chat | button: X | button: Continue | nested button: SOS Emergency & Safety Active or recent trip incident Immediate support › | nested button: TRIP Trip or Rider Issue Pickup, route, cancellation or conduct Attach trip automatically › | nested button: ₹ Fare & Payout Payment, cash adjustment or payout Ledger-linked case › | nested button: ITEM Report an Item Found Keep it safe and start a traceable return Do not contact outside the app › | nested button: Review & Apply | nested button: INS Insurance renewal support Compare eligible policies before expiry 18 days remaining › | nested button: SRV Verified service nearby Maintenance slot and clear estimate No effect on ride queue until booked › | nested button: BILL FASTag, insurance and vehicle bills Open relevant Pay actions One-tap payment routes ›"
"124","124-creator-studio-home.html","Screen 124 · Creator Studio","6","6","0","2","0","1","button: Studio controls | button: PUBLISH Create content MANAGE Content library EARN Campaigns UNDERSTAND Audience | button: ADV Campaign draft due today Local grocery explainer · 60 sec Short ₹3,500 funded · disclosure required › Fresh basket S | a: Mool | a: + Create S Studio ₹ Earnings Chat | button: X"
"125","125-creator-create-publish.html","Screen 125 · Creator Publish","23","23","0","6","2","1","a: ‹ | button: D | button: Short | button: Video | button: Post | button: Camera | button: Gallery | button: Files | input: [unlabelled input] | textarea: Fresh produce packed by a verified local shop. #Jodhpur #DailyNeeds | button: Public | button: Followers | button: Schedule | button: Location | button: Save Draft | button: Review & Publish | a: Mool | a: + Create | a: S Studio | a: ₹ Earnings | a: Chat | button: X | button: Publish"
"126","126-creator-content-library.html","Screen 126 · Creator Content Library","15","14","1","6","1","2","a: ‹ | button: + | input: Search title, format or campaign | button: Filter | button: Published | button: Drafts | button: Scheduled | a: Mool | a: + Create | a: S Studio | a: ₹ Earnings | a: Chat | button: X | button: Open Performance | nested button: [unlabelled button]"
"127","127-creator-content-performance.html","Screen 127 · Creator Performance","15","15","0","6","0","1","a: ‹ | button: ↓ | button: 7 days | button: 28 days | button: 90 days | button: Content | button: Campaign | button: How local baskets save time 48.2K views · 126 orders ₹2,840 payable › | a: Mool | a: + Create | a: S Studio | a: ₹ Earnings | a: Chat | button: X | button: Prepare Export"
"128","128-creator-audience-community.html","Screen 128 · Creator Audience","4","4","0","2","0","1","a: ‹ Audience Aggregated people, interests and community + FOLLOWERS 84,260 +8.4% this month 62% RETURN VIEWERS 52.4K ENGAG | a: + Create S Studio ₹ Earnings Chat | button: X | button: Share Channel"
"129","129-creator-campaigns.html","Screen 129 · Creator Campaigns","16","16","0","6","0","1","a: ‹ | button: F | button: Best Fit | button: Local | button: Awareness | button: Conversion | button: Saved | button: Review Terms | button: Open Deliverable | a: Mool | a: + Create | a: S Studio | a: ₹ Earnings | a: Chat | button: X | button: Accept Campaign"
"130","130-creator-earnings-payouts.html","Screen 130 · Creator Earnings","4","4","0","2","0","1","a: ‹ Earnings Campaign and attributed-value ledger ↓ AVAILABLE FOR PAYOUT ₹6,240 Verified bank account · automatic payout t | a: + Create S Studio ₹ Earnings Chat | button: X | button: Prepare Statement"
"131","131-creator-verification-rights-safety.html","Screen 131 · Creator Control","4","4","0","2","0","1","a: ‹ Channel & Safety Verification, rights, team and appeals ? JD @JodhpurDaily Multi-format creator · India Verified Monet | a: + Create S Studio ₹ Earnings Chat | button: X | button: Continue"
"132","132-creator-memberships.html","Screen 132 · Creator Memberships","11","11","0","6","0","1","a: ‹ | button: ? | button: Manage Plan | button: Create Membership Plan | a: Mool | a: + Create | a: S Studio | a: ₹ Earnings | a: Chat | button: X | button: Continue Plan Setup"
"133","133-earn-opportunities.html","Screen 133 · Earn Opportunities","14","14","0","5","0","1","button: F | button: Best Match | button: Onboarding | button: Campaign | button: Verification | button: Delivery | button: Review & Apply | a: Mool | a: ₹ Opportunities | a: W My Work | a: ₹ Earnings | a: Chat | button: X | button: Apply"
"134","134-earn-applications-eligibility.html","Screen 134 · Earn Applications","15","12","3","6","0","4","a: ‹ | button: P | button: Applied | button: Saved | button: Eligibility | a: Mool | a: ₹ Opportunities | a: W My Work | a: ₹ Earnings | a: Chat | button: X | button: Start Work | nested button: Open Assignment | nested button: View Status | nested button: SKU Validate FMCG catalogue Remote · ₹18 per approved SKU 240 funded units open ›"
"135","135-earn-active-work.html","Screen 135 · Earn Active Work","4","4","0","2","0","1","a: ‹ Active Work WRK-4821 · one bounded output ? ASSIGNED OUTPUT Onboard Mahadev Fresh Mart Jodhpur · ₹450 after approved a | a: ₹ Opportunities W My Work ₹ Earnings Chat | button: X | button: Start Support"
"136","136-earn-proof-outcome.html","Screen 136 · Earn Proof","14","14","0","6","0","1","a: ‹ | button: ? | button: ✓ Owner OTP Matched 10:06 | button: ✓ Shop Photo GPS + time saved | button: ✓ QR Scan Test Activation event | button: ✓ Owner Confirmed App access active | button: Submit for Verification | a: Mool | a: ₹ Opportunities | a: W My Work | a: ₹ Earnings | a: Chat | button: X | button: Track Earnings"
"137","137-earn-earnings-payout.html","Screen 137 · Earn Payout","4","4","0","2","0","1","a: ‹ Earnings Approved outputs, holds and payouts ↓ AVAILABLE FOR PAYOUT ₹4,860 Verified bank ••4421 · automatic payout tom | a: ₹ Opportunities W My Work ₹ Earnings Chat | button: X | button: Prepare Statement"
"138","138-earn-issues-ratings-history.html","Screen 138 · Earn History","16","12","4","6","0","5","a: ‹ | button: ? | button: History | button: Issues | button: Growth | a: Mool | a: ₹ Opportunities | a: W My Work | a: ₹ Earnings | a: Chat | button: X | button: Open Case / Support | nested button: ✓ Retailer onboarding · WRK-4818 Approved 12 Jul · 5.0 rating ₹450 paid Approved | nested button: ✓ QR verification · WRK-4807 8 shops · approved 11 Jul ₹1,760 paid Approved | nested button: ! Shop photo needs rework · WRK-4799 Reason: storefront not fully visible Rework allowed until 6 PM Action | nested button: L4 Next: Category Specialist Complete advanced catalogue training Unlocks ₹800–₹2,500 funded work ›"
"139","139-provider-home-readiness.html","Screen 139 - Provider Home","14","14","0","14","0","0","a: ? | a: ACT NOW Open Requests 2 need response | a: KEEP CURRENT Services 8 consumer-ready | a: CONTROL Availability and area Open until 7 PM | a: BUSINESS Money and records ₹2,640 available | a: NEW Respond within 4 minutes Customer needs price, time and confirmation ₹850 request value › | a: CAP Confirm tomorrow's capacity Prevent overbooking before new demand opens Availability and area › | a: DOC Complete readiness Identity and service readiness One item remaining › | a: FUNDED NEARBY Earn and campaign opportunities 12 open POTENTIAL ₹18K/month AREA Jodhpur FIT Verified | a: Mool | a: O Requests | a: C Services | a: ₹ Money | a: Chat"
"140","140-provider-catalogue.html","Screen 140 - Provider Catalogue","18","18","0","6","2","1","a: ‹ | button: + | button: Live | button: Draft | button: Paused | button: Needs update | button: Edit | button: Preview | a: Mool | a: O Requests | a: C Services | a: ₹ Money | a: Chat | button: X | input: [unlabelled input] | textarea: Clear scope, fulfilment time and receipt. | button: [unlabelled button] | button: Save"
"141","141-provider-availability.html","Screen 141 - Provider Availability","20","20","0","6","2","1","a: ‹ | button: Pause new demand | input: [unlabelled input] | select: Jodhpur - within 8 km At premises only Online only | button: Accept new demand | button: MON 4 slots open 9 AM - 7 PM Accepting › | button: TUE 2 slots open 10 AM - 5 PM Limited › | button: WED Closed Personal day Edit › | button: Save availability | a: Mool | a: O Requests | a: A Capacity | a: ₹ Money | a: Chat | button: X | button: 30 min | button: 2 hours | button: Today | button: Custom | button: Pause safely"
"142","142-provider-requests.html","Screen 142 - Provider Requests","14","14","0","6","0","1","a: ‹ | button: F | button: New 2 | button: Accepted 4 | button: Completed | button: Cannot take | button: Accept | a: Mool | a: O Requests | a: C Services | a: ₹ Money | a: Chat | button: X | button: Confirm and open work"
"143","143-provider-fulfilment.html","Screen 143 - Provider Fulfilment","9","9","0","7","0","0","a: ‹ | a: C | button: Message customer | button: Confirm and continue | a: Mool | a: O Requests | a: C Services | a: ₹ Money | a: Chat"
"144","144-provider-business.html","Screen 144 - Provider Business","20","20","0","6","0","1","a: ‹ | button: ↓ | button: Payments | button: Customers | button: Receipts | button: Refunds | button: ₹ ₹850 - Priya Sharma RQ-2401 - completed Available › | button: INV Receipt MS-2941 Tax and provider details recorded Download › | button: H ₹1,250 - Aarav Mehta Active request - terms locked Expected › | button: REPEAT 18 due Send reminder | button: LOYAL 32 active Review benefit | a: Mool | a: O Requests | a: C Services | a: ₹ Money | a: Chat | button: X | button: Statement | button: GST summary | button: Generate secure file"
"145","145-provider-growth.html","Screen 145 - Provider Growth","14","14","0","6","0","1","a: ‹ | button: F | button: Best match | button: Earn | button: Promote | button: Nearby | button: Review terms | a: Mool | a: O Requests | a: ₹ Earn | a: B Business | a: Chat | button: X | button: Accept funded work"
"146","146-provider-control.html","Screen 146 - Provider Control","7","7","0","2","2","2","a: ‹ Workspace controls Ravi Home Services ? WORKSPACE READINESS 82% complete Identity and service readiness 82% Readiness  | a: O Requests C Services ₹ Money Chat | button: Close support case | select: Support case category | textarea: Support case details | button: Submit case | button: Done"
"147","147-admin-command-centre.html","Screen 147 - Admin Command Centre","0","0","0","0","0","0",""
"148","148-admin-workspace-verification.html","Screen 148 - Admin Verification","0","0","0","0","0","0",""
"149","149-admin-catalogue-governance.html","Screen 149 - Catalogue Governance","0","0","0","0","0","0",""
"150","150-admin-commerce-exceptions.html","Screen 150 - Commerce Exceptions","0","0","0","0","0","0",""
"151","151-admin-ride-operations.html","Screen 151 - Ride Operations","0","0","0","0","0","0",""
"152","152-admin-work-campaign-governance.html","Screen 152 - Work Governance","0","0","0","0","0","0",""
"153","153-admin-content-trust-safety.html","Screen 153 - Trust and Safety","0","0","0","0","0","0",""
"154","154-admin-finance-reconciliation.html","Screen 154 - Finance Reconciliation","0","0","0","0","0","0",""
"155","155-admin-support-disputes.html","Screen 155 - Support and Disputes","0","0","0","0","0","0",""
"156","156-admin-audience-launch-configuration.html","Screen 156 - Audience Launch and Configuration","0","0","0","0","0","0",""
"157","157-shared-priority-inbox.html","Screen 157 - Priority Inbox","0","0","0","0","0","0",""
"158","158-shared-identity-documents-consent.html","Screen 158 - Identity Documents and Consent","0","0","0","0","0","0",""
"159","159-shared-universal-input.html","Screen 159 - Ask Scan Search Voice","0","0","0","0","0","0",""
"160","160-shared-files-evidence-media.html","Screen 160 - Files Evidence and Media","0","0","0","0","0","0",""
"161","161-shared-security-support.html","Screen 161 - Security and Support","0","0","0","0","0","0",""
"162","162-shared-workspaces-settings-analytics.html","Screen 162 - Workspaces Settings and Analytics","0","0","0","0","0","0",""
"163","163-admin-user-activity-product-health.html","Screen 163 - User Activity and Product Health","0","0","0","0","0","0",""
"164","164-admin-signals-consent-personalization.html","Screen 164 - Signals Consent and Personalization","0","0","0","0","0","0",""
"165","165-shared-personalized-controls.html","Screen 165 - Personalized Controls","0","0","0","0","0","0",""
